n.gram,counts,word.index
airways,37,1522
airy,35,1523
ais,16,1524
aisan,40,1525
aisans,26,1526
aish,3,1527
aisha,4,1528
aishe,2,1529
aishwarya,3,1530
aisinal,3,1531
aisle,100,1532
aisles,35,1533
aissawa,3,1534
aist,981,1535
aiste,5,1536
aistes,2,1537
aistic,202,1538
aistically,16,1539
aistry,26,1540
aists,719,1541
ait,4,1542
aitchison,2,1543
aite,3,1544
aithal,2,1545
aitken,3,1546
aitor,2,1547
aix,4,1548
aiy,2,1549
aiyana,2,1550
aizan,2,1551
aizen,2,1552
aj,66,1553
aja,2,1554
ajar,6,1555
ajax,3,1556
ajay,7,1557
ajc,11,1558
aje,2,1559
aji,5,1560
ajit,3,1561
ajmer,4,1562
ajr,2,1563
ajwain,2,1564
ak,23,1565
aka,285,1566
akala,2,1567
akamai,2,1568
akan,2,1569
akasava,2,1570
akash,2,1571
akasha,2,1572
akashic,2,1573
akb,8,1574
akbar,9,1575
akc,5,1576
ake,6,1577
aken,2,1578
akers,4,1579
akerson,5,1580
akg,2,1581
akhmetov,2,1582
aki,3,1583
akido,4,1584
akimoto,3,1585
akin,70,1586
aking,2,1587
akio,2,1588
akira,10,1589
akita,2,1590
akito,4,1591
akiva,2,1592
akka,2,1593
ako,6,1594
akoma,2,1595
akomfrah,2,1596
akon,4,1597
akong,3,1598
akoya,2,1599
akp,2,1600
akpan,2,1601
akpsi,2,1602
akro,2,1603
akron,68,1604
aks,2,1605
akshay,3,1606
akutagawa,2,1607
akward,12,1608
al,2117,1609
ala,81,1610
alaa,2,1611
alaba,3,1612
alabama,170,1613
alabang,3,1614
alabaster,5,1615
aladdi,3,1616
aladdin,19,1617
aladeen,2,1618
alai,5,1619
alaigh,2,1620
alaihi,4,1621
alain,13,1622
alaina,2,1623
